repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ggml-org/llama.cpp,MERGED,14.206111111111111,1,1,1,775,2,0,1
ggml-org/llama.cpp,MERGED,3.9902777777777776,7,192,15,171,2,3,1
ggml-org/llama.cpp,MERGED,1.2413888888888889,2,3,1,59,2,3,1
ggml-org/llama.cpp,MERGED,1.8883333333333334,1,0,3,80,2,0,1
ggml-org/llama.cpp,MERGED,17.019166666666667,6,517,249,921,2,4,4
ggml-org/llama.cpp,MERGED,2.1847222222222222,1,4,4,854,2,1,1
ggml-org/llama.cpp,MERGED,22.14027777777778,1,41,22,112,5,4,4
ggml-org/llama.cpp,MERGED,11.877222222222223,3,3,4,1169,4,6,2
ggml-org/llama.cpp,MERGED,21.598055555555554,1,2,3,105,5,1,8
ggml-org/llama.cpp,MERGED,69.40083333333334,9,235,45,371,4,2,5
ggml-org/llama.cpp,MERGED,1.2752777777777777,3,92,0,245,2,0,1
ggml-org/llama.cpp,MERGED,1.4619444444444445,1,7,0,29,2,0,1
ggml-org/llama.cpp,MERGED,1.0841666666666667,2,10,5,158,2,0,1
ggml-org/llama.cpp,MERGED,1.3616666666666666,2,55,20,81,2,0,1
ggml-org/llama.cpp,MERGED,4.049444444444444,2,2,2,259,2,2,1
ggml-org/llama.cpp,MERGED,47.775555555555556,3,10,1,281,2,2,1
ggml-org/llama.cpp,MERGED,10.243333333333334,2,52,14,451,3,1,1
ggml-org/llama.cpp,MERGED,6.648611111111111,1,2,2,69,3,1,3
ggml-org/llama.cpp,MERGED,1.2022222222222223,1,5,5,115,3,7,1
ggml-org/llama.cpp,MERGED,36.18972222222222,8,89,74,602,4,17,4
ggml-org/llama.cpp,MERGED,1.676111111111111,1,6,3,101,2,0,1
ggml-org/llama.cpp,MERGED,119.63888888888889,2,47,1,299,4,11,2
ggml-org/llama.cpp,MERGED,6.504722222222222,1,3,0,249,2,0,1
ggml-org/llama.cpp,MERGED,2.268611111111111,5,196,88,296,2,2,1
ggml-org/llama.cpp,MERGED,17.049444444444443,4,49,15,288,4,0,1
ggml-org/llama.cpp,MERGED,4.635833333333333,4,153,133,12,2,0,1
ggml-org/llama.cpp,MERGED,3.7533333333333334,1,18,6,152,2,0,1
ggml-org/llama.cpp,MERGED,54.971944444444446,1,2,2,222,2,0,1
ggml-org/llama.cpp,CLOSED,130.33833333333334,5,190,79,87,5,16,4
ggml-org/llama.cpp,MERGED,5.783333333333333,1,16,64,175,2,0,1
ggml-org/llama.cpp,MERGED,47.24666666666667,6,565,47,204,2,0,1
ggml-org/llama.cpp,MERGED,60.48638888888889,1,4,3,1133,2,3,3
ggml-org/llama.cpp,MERGED,2.2783333333333333,2,2,2,113,2,3,1
ggml-org/llama.cpp,MERGED,66.59833333333333,1,95,99,1012,2,0,1
ggml-org/llama.cpp,MERGED,3.3961111111111113,1,20,1,0,2,0,1
ggml-org/llama.cpp,MERGED,1.6594444444444445,3,26,52,261,2,0,1
ggml-org/llama.cpp,MERGED,2.984722222222222,1,6,5,382,2,4,1
ggml-org/llama.cpp,MERGED,28.462777777777777,1,9,4,143,5,3,3
ggml-org/llama.cpp,MERGED,5.879166666666666,1,1,0,65,3,1,1
ggml-org/llama.cpp,MERGED,10.643333333333333,1,67,111,216,2,0,1
