repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
ryanmcdermott/clean-code-javascript,CLOSED,3735.8327777777777,1,2,0,33,2,0,1
ryanmcdermott/clean-code-javascript,CLOSED,11260.297222222222,1,1,1,120,2,0,1
ryanmcdermott/clean-code-javascript,CLOSED,614.6769444444444,1,20,43,152,3,1,2
ryanmcdermott/clean-code-javascript,CLOSED,3302.742222222222,1,36,0,134,3,2,1
ryanmcdermott/clean-code-javascript,MERGED,2459.3275,1,1,0,0,3,1,1
ryanmcdermott/clean-code-javascript,MERGED,4602.678611111111,1,2,2,0,3,1,1
ryanmcdermott/clean-code-javascript,CLOSED,232.09,1,16,15,80,3,3,4
ryanmcdermott/clean-code-javascript,CLOSED,1808.453888888889,1,1,1,27,4,2,3
ryanmcdermott/clean-code-javascript,MERGED,126.20361111111112,1,1,1,72,3,1,1
ryanmcdermott/clean-code-javascript,CLOSED,28343.68388888889,1,1,0,0,3,6,1
ryanmcdermott/clean-code-javascript,CLOSED,73.9175,1,1,0,14,3,1,2
ryanmcdermott/clean-code-javascript,MERGED,172.79083333333332,1,12,16,58,3,1,4
ryanmcdermott/clean-code-javascript,CLOSED,35661.065,1,2,2,83,4,5,1
ryanmcdermott/clean-code-javascript,CLOSED,35684.14194444445,1,4,4,195,3,3,1
ryanmcdermott/clean-code-javascript,MERGED,503.1408333333333,1,3,3,75,3,5,2
ryanmcdermott/clean-code-javascript,CLOSED,35895.415,1,25,0,0,5,3,1
ryanmcdermott/clean-code-javascript,CLOSED,12.938611111111111,2,2340,1,21,3,5,1
ryanmcdermott/clean-code-javascript,MERGED,16.40138888888889,1,22,22,17,3,1,1
ryanmcdermott/clean-code-javascript,MERGED,35.08111111111111,1,3,3,32,3,1,1
ryanmcdermott/clean-code-javascript,CLOSED,63.34361111111111,1,15,16,211,3,4,8
ryanmcdermott/clean-code-javascript,CLOSED,38180.87861111111,1,101,43,325,7,16,6
ryanmcdermott/clean-code-javascript,CLOSED,38229.72277777778,1,44,0,245,3,2,1
ryanmcdermott/clean-code-javascript,MERGED,113.9475,1,33,1,37,3,2,6
ryanmcdermott/clean-code-javascript,MERGED,33.158055555555556,1,5,5,139,3,3,3
ryanmcdermott/clean-code-javascript,CLOSED,300.5677777777778,1,10,7,177,4,10,3
ryanmcdermott/clean-code-javascript,MERGED,17.601388888888888,1,33,0,0,3,2,1
ryanmcdermott/clean-code-javascript,MERGED,33.32555555555555,1,25,30,419,2,3,2
ryanmcdermott/clean-code-javascript,MERGED,97.86472222222223,0,0,0,0,3,4,1
ryanmcdermott/clean-code-javascript,MERGED,49.97611111111111,1,8,8,101,2,1,2
ryanmcdermott/clean-code-javascript,CLOSED,61.403055555555554,1,2,5,336,4,10,1
