repository,status,analysis_time_hours,size_files,size_additions,size_deletions,description_chars,interaction_participants,interaction_comments,reviews_count
storybookjs/storybook,MERGED,2.0011111111111113,3,100,0,2463,2,2,2
storybookjs/storybook,MERGED,19.576666666666668,2,35,7,2235,3,3,4
storybookjs/storybook,MERGED,3.0636111111111113,2,2,0,1972,3,2,1
storybookjs/storybook,MERGED,4.081944444444445,7,75,35,2461,2,3,3
storybookjs/storybook,MERGED,85.80361111111111,10,137,17,2003,3,2,11
storybookjs/storybook,MERGED,86.52638888888889,3,5,5,2434,2,2,1
storybookjs/storybook,MERGED,5.1725,8,227,255,2645,1,3,4
storybookjs/storybook,MERGED,43.54611111111111,4,32,10,2742,5,3,6
storybookjs/storybook,MERGED,1.4408333333333334,21,279,30,3065,2,3,6
storybookjs/storybook,MERGED,1.4108333333333334,6,62,23,2406,2,2,3
storybookjs/storybook,MERGED,13.345555555555556,1,4,1,2755,2,2,1
storybookjs/storybook,MERGED,1.3283333333333334,2,40,26,2262,2,2,2
storybookjs/storybook,MERGED,31.363888888888887,1,1,2,2870,3,5,1
storybookjs/storybook,MERGED,121.97166666666666,1,8,3,958,3,4,2
storybookjs/storybook,MERGED,90.37305555555555,2,12,7,2293,3,5,4
storybookjs/storybook,MERGED,26.788333333333334,6,297,2,3093,3,3,11
storybookjs/storybook,MERGED,19.0425,1,10,6,2065,2,3,2
storybookjs/storybook,MERGED,3.5455555555555556,1,15,0,2155,2,2,2
storybookjs/storybook,MERGED,18.95638888888889,10,101,37,2364,2,3,4
storybookjs/storybook,MERGED,45.92527777777778,11,66,13,2313,3,3,5
storybookjs/storybook,MERGED,2.3722222222222222,1,1,0,582,2,3,1
storybookjs/storybook,MERGED,6.401111111111111,1,1,5,1915,2,3,4
storybookjs/storybook,MERGED,22.37611111111111,4,21,53,2434,3,3,2
storybookjs/storybook,MERGED,26.985,2,15,3,1647,2,2,1
storybookjs/storybook,MERGED,77.4525,6,190,140,3073,4,6,5
storybookjs/storybook,MERGED,114.00027777777778,1,2,1,2445,4,3,2
storybookjs/storybook,MERGED,72.86944444444444,1,0,1,2227,2,3,1
storybookjs/storybook,MERGED,173.2211111111111,17,63,58,3124,4,3,8
storybookjs/storybook,MERGED,24.625833333333333,8,96,77,1835,2,2,1
storybookjs/storybook,MERGED,41.21388888888889,48,374,308,1752,2,7,15
storybookjs/storybook,MERGED,120.72555555555556,21,651,703,3359,2,2,1
storybookjs/storybook,MERGED,120.9775,46,2394,1347,3991,2,5,1
storybookjs/storybook,MERGED,10.02,6,1530,1,2545,2,3,1
storybookjs/storybook,MERGED,4.183333333333334,4,284,2,2755,2,2,4
storybookjs/storybook,MERGED,1.025,6,19,162,2241,1,3,5
storybookjs/storybook,MERGED,1.9447222222222222,2,85,34,4030,3,2,4
storybookjs/storybook,MERGED,47.93888888888889,10,54,25,2364,2,2,1
storybookjs/storybook,MERGED,4.838055555555556,23,3190,2711,2451,5,2,1
storybookjs/storybook,MERGED,211.4936111111111,12,61,55,4301,4,3,10
storybookjs/storybook,MERGED,2.753888888888889,57,350,497,2059,3,2,5
storybookjs/storybook,MERGED,7.454166666666667,17,3168,2575,3390,2,4,2
storybookjs/storybook,CLOSED,162.76083333333332,1,12,19,3699,1,2,1
storybookjs/storybook,MERGED,166.13583333333332,1,1,1,2234,3,3,3
storybookjs/storybook,MERGED,21.161944444444444,2,1,3,3565,2,3,2
storybookjs/storybook,MERGED,217.04833333333335,111,5248,1282,5323,11,4,14
storybookjs/storybook,MERGED,75.6,58,985,238,6312,3,3,43
storybookjs/storybook,MERGED,36.06361111111111,2,91,402,3923,2,1,2
storybookjs/storybook,MERGED,12.057222222222222,2,43,1,2630,2,1,2
